station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
BICK,2.99583,44.48952036,-123.2807105,51.97781977,0.0000,0.0200,0.0043,0.0038,0.0036,3,-0.25,0.93,1.78
BICK,2.99583,44.48952042,-123.2807107,51.95876474,0.0010,0.0200,0.0069,0.0037,0.0049,3,0.52,-0.72,-0.12
BICK,2.99583,44.48952041,-123.2807108,51.97356881,0.0000,0.0220,0.0064,0.0036,0.0047,3,0.37,-1.18,1.36
BICK,2.99583,44.4895204,-123.2807106,51.97587832,0.0000,0.0220,0.0043,0.0037,0.0035,3,0.25,0.53,1.59
BICK,2.99583,44.48952037,-123.2807105,51.96848086,0.0000,0.0200,0.0060,0.0040,0.0039,3,-0.04,1.18,0.85
BICK,2.99583,44.48952034,-123.2807105,51.97706214,0.0000,0.0210,0.0056,0.0036,0.0043,3,-0.40,0.69,1.71
BICK,2.99583,44.48952039,-123.2807106,51.97153369,0.0000,0.0220,0.0070,0.0035,0.0041,3,0.09,0.21,1.15
BICK,2.99583,44.48952037,-123.2807104,51.96804745,0.0000,0.0210,0.0065,0.0035,0.0043,3,-0.13,1.56,0.80
BICK,2.99167,44.48952033,-123.2807106,51.98127227,0.0000,0.0200,0.0047,0.0040,0.0042,3,-0.49,0.43,2.13
BICK,2.99583,44.4895203,-123.2807106,51.98227382,0.0000,0.0210,0.0061,0.0036,0.0043,3,-0.81,0.54,2.23
BICK,2.99583,44.48952026,-123.2807104,51.97538633,0.0000,0.0190,0.0044,0.0048,0.0042,3,-1.33,1.69,1.54
BICK,2.99583,44.48952027,-123.2807105,51.98332786,0.0000,0.0220,0.0069,0.0035,0.0044,3,-1.18,0.76,2.33
BICK,2.99583,44.48952035,-123.2807104,51.96127779,0.0010,0.0200,0.0066,0.0035,0.0044,3,-0.30,2.09,0.13
BICK,2.99583,44.48952023,-123.2807104,51.98913055,0.0000,0.0200,0.0044,0.0046,0.0041,3,-1.64,1.90,2.91
GLAS,2.99583,44.51934221,-122.9960554,69.46209252,-0.0020,0.0250,0.0031,0.0055,0.0040,3,-0.64,-1.24,1.91
GLAS,2.99583,44.5193424,-122.9960554,69.43174821,0.0000,0.0340,0.0052,0.0052,0.0045,3,1.49,-1.03,-1.13
GLAS,2.99583,44.51934246,-122.9960549,69.38988614,0.0010,0.0250,0.0070,0.0058,0.0046,3,2.14,2.40,-5.31
GLAS,2.99583,44.51934236,-122.9960552,69.42751347,-0.0010,0.0270,0.0102,0.0047,0.0051,3,1.11,0.11,-1.55
GLAS,2.99583,44.51934228,-122.9960555,69.47375666,0.0000,0.0250,0.0052,0.0034,0.0041,3,0.22,-2.20,3.08
GLAS,2.99583,44.51934236,-122.9960556,69.49504975,0.0000,0.0280,0.0084,0.0043,0.0054,3,1.00,-3.14,5.20
GLAS,2.99583,44.51934224,-122.9960551,69.47289497,0.0000,0.0220,0.0041,0.0036,0.0035,3,-0.31,1.10,2.99
GLAS,2.99583,44.51934234,-122.9960549,69.47236158,-0.0010,0.0230,0.0060,0.0040,0.0039,3,0.88,2.45,2.94
